symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
BX,0.965677184142233,0.076062895,2.9612148,0.0,-1.6393316,63.614193,0.07492154,20.046587,29.166666,0.017112508,-0.18684329,0.009771835,0.0
DBRG,0.9080356944787908,0.60313183,12.4765415,-0.12326677,-1.8449898,69.64588,-0.2878484,38.805275,29.166666,0.42446607,-0.28927967,0.030816693,0.0
HBAN,1.0281579161530006,0.014441192,3.876182,-1.3097042,-0.6938027,57.08095,-0.15442653,25.431454,16.666666,-0.04183752,-0.039335087,0.22058177,0.0
NVMI,1.0025821974990354,1.5864626,13.728527,0.0,-4.4562116,79.59994,0.5286618,27.475487,83.333336,-0.22951657,0.1728122,0.5175786,0.0
NVST,0.8741797077771476,0.43764606,7.1651287,0.0,-3.4342964,76.92707,0.31368738,29.207123,87.5,-0.15776104,0.048735928,0.206657,0.0
KTOS,1.0176244266596068,2.7060697,23.361837,0.0,-4.9360886,86.849846,0.7392777,37.482555,83.333336,-0.34705493,0.36293167,0.31127065,0.0
EWTX,0.8952897804051246,0.21520932,5.4478126,-0.4735531,-1.5152129,59.666054,0.14546992,24.678566,62.5,-0.46699288,-0.0037922645,0.12831761,0.0
ESI,0.8823157579889228,0.73224586,5.308242,0.0,-2.913825,72.04837,0.43445766,27.50909,79.166664,-0.024777612,-0.010058923,0.20708834,0.0
ASO,0.8635318039048606,0.31525818,8.084909,0.0,-1.8256699,64.81769,0.14766714,30.744778,25.0,-0.15220821,0.13737606,0.114371866,0.0
MTSI,0.9724236538259816,0.56820905,6.4429655,0.0,-4.0170813,78.61866,0.6578157,27.563139,83.333336,-0.42592537,0.8599425,0.10875053,0.0
