symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
ALKS,0.9749007084104909,0.5434677,3.4680495,0.0,-3.9514601,79.617455,0.53920835,24.412115,95.833336,0.10175861,0.00575602,0.14692172,0.0
QGEN,0.974149699521313,0.42452186,4.4071326,0.0,-4.247795,80.855095,0.52685577,24.986012,91.666664,-1.0457044,1.7170511,0.81844026,0.0
MIDD,0.9457340829919635,-2.99355e-07,6.6884875,-2.2206252,-0.21111831,54.39798,-0.45700255,43.715897,62.5,-0.099832736,0.27628464,0.57263094,0.0
MKSI,1.1013556342571114,1.4601377,12.297049,0.0,-4.5893216,81.218094,0.4964326,32.187714,91.666664,-0.3476061,0.6149385,0.44390532,0.0
STLD,0.999328265987075,-0.0015466453,1.5805048,0.0,-1.7926108,62.52216,0.031302214,24.00818,100.0,-0.07563591,-0.15866561,0.71025646,0.0
WBS,0.9528489592318246,-4.598349e-11,2.1534557,0.0,-1.3893737,60.20492,-0.09450909,21.297411,16.666666,0.009405965,0.1810001,0.20037115,0.0
WBD,0.9935108090561591,-0.037891593,4.061336,-1.1203858,-0.29764107,56.28173,-0.34335014,33.036713,-12.5,0.2515141,-0.44784215,0.08002755,0.0
CGON,0.9457722978215902,1.7853526,15.465219,0.0,-3.0689971,73.76369,0.46408603,35.554527,91.666664,-0.44411176,0.62931174,0.12044431,0.0
WLK,0.8888573947868528,0.9131903,12.203317,-1.0356324,-1.8970925,65.273476,0.18923968,39.16704,87.5,-0.17806266,0.32214874,0.36287275,0.0
SANM,0.9578406215210663,0.53708786,3.8215365,0.0,-2.4367464,68.36034,0.37917534,22.804438,91.666664,-0.15595631,-0.32445568,0.0743817,0.0
