symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
OMC,0.9731841316239347,-0.034042917,2.9028502,-1.9387075,-0.117151335,52.411682,-0.20289744,21.316494,37.5,-0.028772747,-0.22017239,0.1322447,0.0
NVST,0.8595375024182907,0.09876681,4.4389434,0.0,-2.3684022,70.33704,0.19992676,22.234453,91.666664,-0.041087244,-0.2558739,0.07697141,0.0
NBIS,0.5961170150379065,0.26933575,-2.0629148,-0.35068905,-0.85930645,55.723454,0.27683166,16.038458,62.5,0.15974091,-0.3842567,0.17458874,0.0
ALK,0.5293492477504365,-0.12736152,4.9084725,-2.265396,-0.0389325,51.729187,-0.32488078,26.797522,25.0,0.11204832,-0.16850185,0.43907958,0.0
NTNX,0.3825337202493028,0.28722495,-3.763325,0.0,-0.9335825,53.906227,0.48244387,20.17025,100.0,0.28188455,-0.28556585,0.26585925,0.0
FN,0.3105752399738729,-0.015819145,0.7402257,-3.3661566,-0.7056561,45.911964,-0.17844896,13.527633,-16.666666,-0.2790408,-0.2292232,0.037877496,0.0
DHI,0.30661897018908724,-0.11242795,-1.6150194,0.0,-1.9655901,60.782215,0.10764098,14.481208,-91.666664,-0.059810523,-0.034148086,0.8842126,0.0
MNDY,0.30181866410964375,-0.06864078,-4.535125,-2.8570745,-0.14898719,45.893345,0.20366511,25.29613,-79.166664,0.35233927,0.020135878,0.2067081,0.0
BRBR,0.20874921968953694,-1.5162679,-10.510162,-6.1152945,-1.7913648,34.963966,-0.35725623,34.16048,-75.0,0.0620884,-0.13158831,0.20409988,0.0
CYBR,0.20665716660156203,-1.6547214e-06,-2.401358,-1.1422313,-0.18142293,49.730675,0.233371,23.170858,-70.833336,0.045403153,-0.47066864,0.21707565,0.0
