symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
FTAI,1.2768141856564226,2.7810485,21.98088,0.0,-4.655021,86.867165,0.52722925,41.743496,83.333336,-0.48848367,0.8594514,0.008131308,0.0
KTOS,1.3095244266596069,2.7060697,23.361837,0.0,-4.9360886,86.849846,0.7392777,37.482555,83.333336,-0.34705493,0.36293167,0.31127065,0.0
ACMR,1.0315186176236035,1.7291908,19.880005,0.0,-3.077084,75.35341,0.2897901,48.138477,70.833336,-0.20364027,0.31211704,0.42462036,0.0
CAVA,0.7502703713366903,1.2461846,15.975732,0.0,-2.837865,74.97534,0.26419538,43.771282,87.5,0.017850492,-0.02362803,0.004030995,0.0
ASTS,0.8826171034327674,1.3495605,19.942942,0.0,-2.8933947,69.87003,0.23911686,33.784256,83.333336,-0.5419284,0.12530592,0.6470614,0.0
TXG,0.6764359277731004,1.3936223,11.476147,-0.67010874,-1.583639,64.17558,0.28666878,34.065464,87.5,-0.29416144,0.2828737,0.019283704,0.0
LHX,0.7264679747936598,0.98650426,8.469138,0.0,-3.115873,79.019875,0.40952548,44.548912,70.833336,-0.63657725,1.3084767,0.16625291,0.0
SYNA,0.6079655949782632,1.0540026,10.773442,-0.112391055,-2.790747,72.38683,0.35342804,32.194466,58.333332,-0.3736186,0.68184114,0.63893545,0.0
HE,0.5941655241799163,1.1019783,10.370699,-0.5713322,-2.1665623,66.90087,0.2308963,36.202465,50.0,-0.73761016,0.4424329,0.11979547,0.0
TECH,0.5159276197125432,0.95027924,6.303344,-0.6625258,-2.34274,70.079865,0.44541395,32.56632,83.333336,0.009497527,0.16234545,0.1501035,0.0
