symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
HBAN,0.9531579161530007,0.014441192,3.876182,-1.3097042,-0.6938027,57.08095,-0.15442653,25.431454,16.666666,-0.04183752,-0.039335087,0.22058177,0.0
NVST,0.8741797077771476,0.43764606,7.1651287,0.0,-3.4342964,76.92707,0.31368738,29.207123,87.5,-0.15776104,0.048735928,0.206657,0.0
NBIS,0.7370231530530733,0.9057189,6.380302,0.0,-1.5151631,61.84932,0.28790683,19.200855,83.333336,0.12740248,-0.28011718,0.26685816,0.0
PLUG,0.7154350019141161,0.21888943,3.2104738,-0.056194495,-0.7572474,56.133022,0.14049539,13.767149,16.666666,0.28866744,-0.18077639,0.08429174,0.0
FN,0.6872963703131315,0.0013421213,1.6883166,-0.10123165,-0.84277666,56.765812,0.07847876,12.511501,-16.666666,-0.33695337,-0.008151783,0.16208546,0.0
ALK,0.5186076289249762,-0.23166534,2.1539195,-2.1267712,-0.27202234,52.915745,-0.23699707,20.62934,-87.5,0.0670123,0.09341436,0.0304695,0.0
SOLV,0.46409288365716,0.008274392,2.2940888,-4.009705,-1.1220664,44.38509,-0.22852963,18.539423,16.666666,-0.060145266,-0.022194307,0.1038309,0.0
DHI,0.4547655097094518,0.17646322,1.6272836,-1.2539427,-0.5701007,54.1292,0.32823712,16.888018,29.166666,-0.058837693,0.20607704,0.1524485,0.0
CYBR,0.4434805521784259,0.011233004,-0.35616037,-1.2063859,-0.01285047,49.151398,0.1604813,18.634674,12.5,0.04068916,-0.28560305,0.013979577,0.0
ISRG,0.4364889458217685,-0.036478564,0.63470083,-4.347231,-2.1793666,34.923325,-0.42640445,21.755325,-20.833334,-0.08297797,-0.02411547,0.07648752,0.0
