symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
FTAI,1.3595331530063326,1.1019998,12.743954,-0.20992863,-4.415537,82.07514,0.7814531,30.145704,54.166668,-0.3634227,0.6381111,0.28790212,0.0
RH,1.2842600218735492,1.3946723,10.107596,0.0,-3.0465317,75.666626,0.39262646,39.508667,75.0,-0.044514634,-0.015274665,0.15382126,0.0
VSCO,0.9924636998077745,0.25188422,14.3779335,0.0,-3.3908083,76.75681,0.047105927,53.23097,95.833336,-0.5007489,-0.26381883,0.35771322,0.0
ZIM,0.9288234088751371,0.5842772,10.07905,0.0,-1.8520595,67.632416,0.06357773,29.4845,70.833336,-0.33667895,-0.214616,0.05520287,0.0
CCL,0.8515750228025442,0.6241102,7.583298,-0.6510503,-1.494228,64.111626,0.10758776,42.689213,41.666668,0.013127169,-0.21276802,0.015501198,0.0
OS,0.7247425796234827,0.5147937,1.7072691,-0.016961444,-4.164398,72.03397,0.7401859,20.360695,54.166668,-0.04481495,1.4561036,0.0,0.0
IVZ,0.6286956699797238,0.118688405,4.968629,0.0,-2.0348191,66.38514,0.061360646,28.847439,87.5,-0.051760536,-0.17559639,0.02233253,0.0
ATEC,0.624938813975651,0.3694838,3.1982918,0.0,-2.5785215,71.28406,0.22718607,17.68457,62.5,-0.08269947,-0.21185125,0.48434272,0.0
WPM,0.581660727086474,0.17013358,6.3330336,-0.41177955,-1.2863495,62.3134,-0.003314719,21.98363,79.166664,-0.29171965,-0.4531206,0.6375941,0.0
SLB,0.5725777010536408,0.15131563,4.8794703,0.0,-3.332238,72.512726,0.41714823,27.361252,87.5,-0.31251097,0.12085774,0.37928775,0.0
