symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
WBS,1.0646091742939765,0.0028769902,1.936038,0.0,-1.4152715,61.16001,-0.013692989,21.806932,54.166668,-0.0049562724,0.35689485,0.04381277,0.0
ALKS,0.9877237010149043,0.7198114,4.4066634,0.0,-3.6975956,79.95742,0.5979098,27.16561,100.0,0.10366172,0.045632005,0.05792719,0.0
BEAM,0.9748041265066747,0.63125813,13.194346,-0.5286307,-1.8144213,65.40828,0.09394013,32.04503,66.666664,-0.3491827,-0.04448528,0.08079508,0.0
GM,1.0235506813767443,-0.039843384,2.404328,-2.0354064,-0.02753713,52.22286,-0.3356209,32.49514,-29.166666,-0.2562073,0.008454558,0.10228172,0.0
VLY,1.0239817519324592,0.010211925,1.6318369,0.0,-1.6842691,63.921803,0.061651155,29.563465,54.166668,0.02620148,-0.24619353,0.07174664,0.0
ETSY,0.9580277662533012,0.46061325,5.5605383,-0.49995703,-1.2191018,59.687126,0.067517385,23.978765,95.833336,0.19992016,-0.27851444,0.89465994,0.0
EWTX,0.9241087877614255,0.41244525,8.239005,0.0,-2.3156092,65.378716,0.27987543,28.56413,83.333336,-0.39932415,0.04303491,0.031040223,0.0
DVN,0.8685663313068775,0.011990193,0.65583384,0.0,-1.0685892,57.82138,0.111306116,21.37822,20.833334,-0.23228557,0.3521207,0.20977654,0.0
EXK,0.991221661615405,1.2023913,15.369185,0.0,-3.2457972,78.0877,0.31089467,24.143019,54.166668,-0.42137668,0.26525372,0.11078856,0.0
CWST,0.9276116083374037,0.13293578,3.366168,0.0,-1.9470041,65.62082,0.16617809,28.46897,54.166668,-0.11102917,-0.17469378,0.48448816,0.0
