symbol,Score,TS,MS,BP,PT,RSI,MH,ADX,AROON,VCP,VOLexp,GAPpen,LIQpen
HSY,0.9244745551187361,0.29571402,4.1837964,-2.3821058,-0.14615272,53.15827,0.05373416,21.419773,62.5,-0.070400596,0.35250703,0.18028045,0.0
AMD,0.9265832892172449,0.40052578,4.2394934,0.0,-3.017949,75.53251,0.49758458,21.930897,100.0,-0.01938045,-0.25297174,0.72707164,0.0
PAAS,0.9849846865009917,0.46617422,11.037258,0.0,-3.2750735,75.97588,0.19244084,32.802895,100.0,-0.5290429,0.21289286,0.5130695,0.0
HAL,0.9776434550228243,0.89687604,8.83123,0.0,-2.1224031,69.64378,0.12605366,33.081272,95.833336,-0.29705468,0.24181375,1.0120088,0.0
CMC,0.8793816295475848,0.41285956,6.5503078,-0.1572417,-2.0447848,67.64711,0.10704114,41.707714,87.5,-0.1150948,0.13470139,0.12579337,0.0
EGO,0.9698759734936199,1.1014785,13.890578,0.0,-3.9940205,84.95873,0.3559326,40.53597,100.0,-0.37821004,-0.044360947,0.21199107,0.0
ZETA,0.9036555233666665,0.014668573,6.482513,-2.284236,-0.4129517,54.383186,-0.22187345,20.650066,62.5,-0.08388573,-0.008011592,0.11205686,0.0
UAA,0.9231565180847023,1.1994028,12.558153,0.0,-2.8958273,76.30233,0.22792071,55.350624,95.833336,-0.47762838,0.33260736,0.11824812,0.0
CVE,0.8908546213771058,0.29960108,2.5409038,0.0,-2.0079317,63.48343,0.3840924,22.193544,45.833332,-0.18657199,0.27376252,0.46257097,0.0
GGB,0.9385200176262993,0.8894393,7.803835,0.0,-3.700909,81.50111,0.37373385,35.249355,87.5,-0.2369803,0.26083136,0.7468859,0.0
