symbol,trades,wins,losses,win_rate,net_pnl,avg_return,win_rate_norm,net_pnl_norm,trades_norm,avg_return_norm,score
TNXP,19,11,8,57.89473684210527,28.9191,1.5220578947368422,1.0,1.0,0.5135135135135135,1.0,0.9027027027027027
CUBWW,7,4,3,57.14285714285714,0.2628,0.03754285714285714,0.9870129870129869,0.009087419732979241,0.1891891891891892,0.024665853560943654,0.43783584391902075
SPRO,12,6,6,50.0,0.105000000000001,0.008750000000000082,0.8636363636363635,0.0036308183864643432,0.32432432432432434,0.005748795778568543,0.4119835354132065
JFBR,8,4,4,50.0,1.0300000000000007,0.1287500000000001,0.8636363636363635,0.035616599410078484,0.21621621621621623,0.0845894235989364,0.40784171088070587
IPDN,8,4,4,50.0,0.1671999999999995,0.020899999999999936,0.8636363636363635,0.005781646040160291,0.21621621621621623,0.013731409345380693,0.39180542344437486
ERNA,6,3,3,50.0,-0.3500000000000001,-0.05833333333333335,0.8636363636363635,-0.012102727954881033,0.16216216216216217,-0.038325305190456606,0.37042362898146797
FGEN,7,3,4,42.85714285714285,-0.8151999999999993,-0.11645714285714275,0.7402597402597401,-0.028188982368054304,0.1891891891891892,-0.07651295214186168,0.31783374401713144
LGHL,8,3,5,37.5,-0.8539999999999996,-0.10674999999999996,0.6477272727272727,-0.0295306562099097,0.21621621621621623,-0.07013530849853554,0.28646142462132584
PXLW,9,3,6,33.33333333333333,0.1100000000000016,0.0122222222222224,0.5757575757575757,0.003803714500105522,0.24324324324324326,0.008030063944667213,0.28089579969617734
ONCO,15,5,10,33.33333333333333,-2.9862,-0.19908,0.5757575757575757,-0.10326047491104495,0.40540540540540543,-0.13079660155399028,0.26732630875539887
QVCGA,7,2,5,28.57142857142857,-0.9800000000000006,-0.1400000000000001,0.49350649350649345,-0.033887638273666906,0.1891891891891892,-0.09198073245709588,0.21587607051262556
INAB,4,1,3,25.0,-0.425,-0.10625,0.43181818181818177,-0.014696169659498394,0.10810810810810811,-0.06980680588261737,0.1829593628627831
CDTX,37,10,27,27.027027027027028,-25.021600000000007,-0.6762594594594596,0.4668304668304668,-0.8652274794167178,1.0,-0.44430600294371997,0.08273334261279937
LYEL,9,1,8,11.11111111111111,-3.219999999999999,-0.35777777777777764,0.1919191919191919,-0.11134509718490544,0.24324324324324326,-0.23506187183480035,0.06850660907737376
EKSO,4,0,4,0.0,-0.6149999999999993,-0.15374999999999983,0.0,-0.02126622197786236,0.10810810810810811,-0.1010145543948462,0.005140299588778294
