timestamp,open,high,low,close,volume,trade_count,vwap
2023-11-10 05:00:00+00:00,3.72,4.18,3.22,3.525,4436948.0,16758.0,3.578626
2023-11-13 05:00:00+00:00,3.33,3.68,3.25,3.47,1943678.0,5907.0,3.42806
2023-11-14 05:00:00+00:00,3.7,4.315,3.535,4.22,1595311.0,6539.0,4.07069
2023-11-15 05:00:00+00:00,4.305,4.655,4.22,4.34,1546915.0,5986.0,4.454313
2023-11-16 05:00:00+00:00,4.095,4.22,3.94,4.17,504393.0,2650.0,4.067974
2023-11-17 05:00:00+00:00,4.15,4.15,3.865,3.99,761142.0,2564.0,4.004273
2023-11-20 05:00:00+00:00,3.96,4.015,3.75,3.86,832058.0,3427.0,3.891002
2023-11-21 05:00:00+00:00,3.77,3.78,3.555,3.57,607230.0,2940.0,3.618933
2023-11-22 05:00:00+00:00,3.605,3.635,3.435,3.475,604918.0,3078.0,3.524351
2023-11-24 05:00:00+00:00,3.435,3.48,3.365,3.455,261555.0,984.0,3.433116
2023-11-27 05:00:00+00:00,3.425,3.465,3.34,3.42,329104.0,1777.0,3.398335
2023-11-28 05:00:00+00:00,3.39,3.865,3.325,3.82,692400.0,2044.0,3.692498
2023-11-29 05:00:00+00:00,3.965,4.195,3.88,3.93,671216.0,2317.0,4.023953
2023-11-30 05:00:00+00:00,4.04,4.065,3.8,4.03,476971.0,1766.0,3.995792
2023-12-01 05:00:00+00:00,3.98,4.54,3.935,4.54,732304.0,2493.0,4.386688
2023-12-04 05:00:00+00:00,4.62,4.86,4.5,4.78,795509.0,3640.0,4.701308
2023-12-05 05:00:00+00:00,4.525,4.68,4.18,4.24,1232607.0,3529.0,4.404833
2023-12-06 05:00:00+00:00,4.005,4.24,3.93,3.985,856198.0,3132.0,4.059788
2023-12-07 05:00:00+00:00,3.95,4.11,3.89,4.085,516936.0,1919.0,3.996781
2023-12-08 05:00:00+00:00,4.06,4.265,3.96,4.0,409157.0,1470.0,4.058724
2023-12-11 05:00:00+00:00,3.975,4.135,3.92,4.08,595132.0,1920.0,4.057348
2023-12-12 05:00:00+00:00,3.98,4.035,3.81,3.935,554390.0,2315.0,3.935195
2023-12-13 05:00:00+00:00,3.86,4.34,3.77,4.315,436324.0,1934.0,4.072977
2023-12-14 05:00:00+00:00,4.6,4.96,4.6,4.79,1001936.0,4577.0,4.799255
2023-12-15 05:00:00+00:00,4.945,4.99,4.54,4.67,816558.0,3413.0,4.724782
2023-12-18 05:00:00+00:00,4.595,4.765,4.42,4.42,615484.0,2161.0,4.565927
2023-12-19 05:00:00+00:00,4.28,4.55,4.26,4.405,484233.0,2348.0,4.401575
2023-12-20 05:00:00+00:00,4.35,4.625,4.145,4.165,616353.0,2095.0,4.322774
2023-12-21 05:00:00+00:00,4.3,4.48,4.3,4.425,461885.0,1830.0,4.375876
2023-12-22 05:00:00+00:00,4.3,4.59,4.245,4.52,714265.0,2215.0,4.472336
2023-12-26 05:00:00+00:00,4.575,4.84,4.54,4.77,278130.0,1457.0,4.731259
2023-12-27 05:00:00+00:00,4.805,4.84,4.69,4.705,369620.0,1654.0,4.754714
2023-12-28 05:00:00+00:00,4.655,4.83,4.615,4.705,242146.0,1308.0,4.689137
2023-12-29 05:00:00+00:00,4.67,4.705,4.5,4.51,208900.0,1032.0,4.559551
2024-01-02 05:00:00+00:00,4.445,4.835,4.4,4.58,366502.0,1431.0,4.697092
2024-01-03 05:00:00+00:00,4.45,4.45,4.165,4.39,653477.0,2221.0,4.289065
2024-01-04 05:00:00+00:00,4.36,4.47,4.27,4.295,392087.0,2107.0,4.347521
2024-01-05 05:00:00+00:00,4.22,4.555,4.2,4.24,489625.0,2156.0,4.318984
2024-01-08 05:00:00+00:00,4.285,4.415,4.175,4.35,366292.0,1763.0,4.321111
2024-01-09 05:00:00+00:00,4.245,4.305,4.185,4.2,325473.0,1560.0,4.232929
2024-01-10 05:00:00+00:00,4.155,4.18,3.905,4.04,422007.0,2377.0,4.016081
2024-01-11 05:00:00+00:00,3.895,3.93,3.63,3.715,533571.0,2606.0,3.73253
2024-01-12 05:00:00+00:00,3.77,3.79,3.43,3.43,701529.0,2683.0,3.548606
2024-01-16 05:00:00+00:00,3.37,3.37,3.0,3.04,516377.0,2782.0,3.109385
2024-01-17 05:00:00+00:00,2.92,2.99,2.635,2.735,1184246.0,3465.0,2.807572
2024-01-18 05:00:00+00:00,2.29,2.54,2.265,2.41,3240114.0,9336.0,2.361698
2024-01-19 05:00:00+00:00,2.505,2.67,2.395,2.665,1096489.0,4233.0,2.551994
2024-01-22 05:00:00+00:00,2.85,3.07,2.705,2.845,1280515.0,4351.0,2.839175
2024-01-23 05:00:00+00:00,3.37,3.82,3.12,3.725,2496593.0,10523.0,3.427549
2024-01-24 05:00:00+00:00,3.77,4.03,3.4,3.48,2753037.0,6909.0,3.686808
2024-01-25 05:00:00+00:00,3.52,3.52,3.225,3.395,665183.0,3073.0,3.352168
2024-01-26 05:00:00+00:00,3.43,3.6,3.35,3.405,667668.0,2327.0,3.443265
2024-01-29 05:00:00+00:00,3.36,3.805,3.335,3.795,841572.0,2010.0,3.680468
2024-01-30 05:00:00+00:00,3.74,3.855,3.65,3.735,644273.0,1780.0,3.762345
2024-01-31 05:00:00+00:00,4.11,4.83,3.98,4.445,1806857.0,6534.0,4.458752
